学校ID,登録番号,書名,書名ヨミ,書名巻次,版次,叢書名,叢書名ヨミ,叢書名巻次,タイトル関連情報,タイトル関連情報ヨミ,各巻書名,各巻書名ヨミ,各巻書名巻次,著者,著者ヨミ,各巻著者,各巻著者ヨミ,出版地,出版者,出版年,ページ数,サイズ,一般注記,ISBN,ISBN13,TRCナンバー,件名,件名ヨミ,内容,自校分類,NDC,TRC,書誌ID,請求記号,受入年月日
160,160-0-41442,笑える腹立つイスラム夫と共存中,ワラエル／ムカツク／イスラム／オット／ト／キョウゾンチュウ,,,,,,,,,,,ハスナ（日本人）∥著,ハスナ／ニホンジン,,,東京,飛鳥新社,２０１８．１０,１４２ｐ,２１ｃｍ,シュークリーム∥編集,4-86410-646-7,978-4-86410-646-7,,,,,726.1,,0,160-687194786572,"726.1-ハ ",2019-07-03
160,160-0-41443,100年後の水を守る,ヒャクネン／ゴ／ノ／ミズ／オ／マモル,,,,,,水ジャーナリストの20年,ミズ／ジャーナリスト／ノ／ニジュウネン,,,,橋本／淳司∥著,ハシモト，ジュンジ,,,東京,文研出版,２０１５．６,１６２ｐ,２２ｃｍ,,4-580-82281-8,978-4-580-82281-8,,,,,518,,0,160-687194786581,"518-ハ ",2019-07-03
160,160-0-41444,日本の裁判がわかる本,ニホン／ノ／サイバン／ガ／ワカル／ホン,,,,,,,,,,,"ベリーベスト法律事務所∥監修  カプコン∥監修","ベリー／ベスト／ホウリツ／ジムショ  カプコン",,,東京,文芸社,２０１８．１１,１２７ｐ,２１ｃｍ,,4-537-21629-5,978-4-537-21629-5,,,,,327,,0,160-687194786582,"327-ベ ",2019-07-03
160,160-0-41445,生物多様性と地球の未来,セイブツ／タヨウセイ／ト／チキュウ／ノ／ミライ,,,,,,６度目の大量絶滅へ？,ロクド／メ／ノ／タイリョウ／ゼツメツ／エ,,,,"ジョナサン・シルバータウン∥編  池田／比佐子∥訳  太田／英利∥監訳","シルバータウン，ジョナサン  イケダ，ヒサコ  オオタ，ヒデトシ",,,東京,朝倉書店,２０１８．６,１９０ｐ,２６ｃｍ,,4-254-17165-5,978-4-254-17165-5,,,,,468,,0,160-687194786578,"468-シ ",2019-07-03
160,160-0-41446,森林未来会議,シンリン／ミライ／カイギ,,,,,,森を活かす仕組みをつくる,モリ／オ／イカス／シクミ／オ／ツクル,,,,"熊崎／実∥編著  速水／亨∥編著  石崎／涼子∥編著","クマザキ，ミノル  ハヤミ，トオル  イシザキ，リョウコ",,,東京,築地書館,２０１９．６,３２４ｐ,１９ｃｍ,,4-8067-1583-2,978-4-8067-1583-2,,,,,650,,0,160-687194786580,"650-ク ",2019-07-03
160,160-0-41447,十二大戦対十二大戦,ジュウニ／タイセン／タイ／ジュウニ／タイセン,,,,,,,,,,,"西尾／維新∥小説  中村／光∥イラストレーション","ニシオ，イシン  ナカムラ，ヒカル",,,東京,集英社,２０１７．１２,２３３ｐ,１９ｃｍ,,4-08-703440-0,978-4-08-703440-0,,,,,913.6,,0,160-687194786567,"913.6-ニ ",2019-07-03
160,160-0-41448,大人に必要な「読解力」がきちんと身につく読みトレ,オトナ／ニ／ヒツヨウナ／ドッカイリョク／ガ／キチン／ト／ミニツク／ヨミ／トレ,,,,,,,,,,,吉田／裕子∥著,ヨシダ，ユウコ,,,東京,大和書房,２０１８．１０,１９９ｐ,１９ｃｍ,,4-479-79666-4,978-4-479-79666-4,,,,,816,,0,160-687194786571,"816-ヨ ",2019-07-03
160,160-0-41449,伝説のオリンピックランナー“いだてん”金栗四三,デンセツ／ノ／オリンピック／ランナー／イダテン／カナクリ／シソウ,,,,,,,,,,,近藤／隆夫∥著,コンドウ，タカオ,,,東京,汐文社,２０１８．９,１９３ｐ,２０ｃｍ,,4-8113-2499-9,978-4-8113-2499-9,,,,,782,,0,160-687194786585,"782-コ ",2019-07-03
160,160-0-41450,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,1,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１３．８,３３４ｐ,１９ｃｍ,フロンティアワークス・メディアワークス∥企画,4-04-066490-3,978-4-04-066490-3,,,,,913.6,,0,160-687194786549,913.6-ア-1,2019-07-03
160,160-0-41451,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,２,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１３．１０,３１６ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-066049-3,978-4-04-066049-3,,,,,913.6,,0,160-687194786550,913.6-ア-2,2019-07-03
